assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts
45,18,45,0.60115,4,82,33,Benn,0,34,8473994,23,78,0.95121,L,13,30,20222023,2,3,0.17368,L,190,Jamie Benn,DAL,947.0121,38,1.76,1.0,0,1.0,5,48,2.22,97,4.49,1,,4,6,,51,62,78,55,2.54,330
9,10,18,0.48222,0,62,10,Bonino,0,28,8474009,-5,19,0.30645,C,0,1,20222023,0,0,0.10989,L,91,Nick Bonino,"SJS,PIT",954.9032,79,4.8,1.0,1,2.0,1,17,1.03,19,1.15,0,,1,2,,24,27,30,40,2.43,148
14,3,17,,0,78,3,Cole,0,61,8474013,13,17,0.21794,D,0,0,20222023,0,0,0.02752,L,109,Ian Cole,TBL,1163.1794,123,4.88,2.0,0,2.0,1,45,1.78,117,4.64,0,,1,3,,34,38,71,33,1.3,218
2,0,2,,0,51,0,Braun,0,19,8474027,-1,2,0.03921,D,0,0,20222023,0,0,0.0,R,42,Justin Braun,PHI,898.9607,49,3.84,0.0,0,0.0,0,10,0.78,47,3.69,0,,2,2,,22,26,32,10,0.78,100
23,3,19,,0,75,4,Shattenkirk,0,56,8474031,-20,27,0.36,D,1,8,20222023,0,0,0.02758,R,145,Kevin Shattenkirk,ANA,1158.2,115,4.76,1.0,0,1.0,0,33,1.36,79,3.27,0,,2,2,,40,44,89,31,1.28,278
9,5,13,0.16666,0,80,5,Maroon,0,150,8474034,-5,14,0.175,L,0,1,20222023,0,0,0.08064,L,62,Patrick Maroon,TBL,620.6875,12,0.87,0.0,0,0.0,1,19,1.37,172,12.47,1,,0,5,,30,36,24,26,1.88,122
17,10,25,0.5,1,61,12,van Riemsdyk,0,28,8474037,-3,29,0.4754,L,2,4,20222023,0,0,0.10084,L,119,James van Riemsdyk,PHI,921.2295,20,1.28,1.0,0,1.0,2,10,0.64,18,1.15,0,,6,3,,34,43,35,24,1.53,197
6,7,11,0.30434,2,48,8,Gagner,0,13,8474040,-4,14,0.29166,C,1,3,20222023,0,0,0.10256,R,78,Sam Gagner,WPG,730.3125,14,1.43,0.0,0,0.0,1,10,1.02,16,1.64,0,,2,3,,21,26,21,12,1.23,125
40,21,46,0.47442,4,82,27,Couture,2,19,8474053,-30,67,0.81707,C,5,20,20222023,1,1,0.13636,L,198,Logan Couture,SJS,1147.8902,70,2.67,1.0,4,5.0,4,35,1.33,128,4.89,1,,3,3,,73,80,63,71,2.71,341
0,0,0,0.57777,0,10,0,Malone,0,6,8474089,-4,0,0.0,C,0,0,20222023,0,0,0.0,L,7,Brad Malone,EDM,461.2,4,3.12,,0,,0,1,0.78,26,20.29,0,,0,0,,2,2,5,3,2.34,14
5,0,4,,0,60,0,Smith,0,63,8474090,3,5,0.08333,D,0,0,20222023,0,1,0.0,L,58,Brendan Smith,NJD,933.2,76,4.88,0.0,0,0.0,0,31,1.99,102,6.55,0,,2,4,,18,24,46,25,1.6,128
